nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15   S2L16   flag
1415  285.73  289.21  282.61  292.60  296.10  292.76  307.46  312.67  301.93  294.98  292.30  298.63  295.96  300.29  286.89  298.11  0
1416  297.13  295.05  283.64  295.13  294.41  294.40  298.68  307.82  306.75  295.64  291.80  301.83  295.45  294.44  291.69  291.75  0
1420  328.10  316.11  308.69  306.61  295.81  300.03  304.17  300.51  297.86  296.78  293.69  306.97  306.71  299.02  278.51  311.50  0
1422  298.99  295.38  287.00  292.05  289.94  287.40  295.86  303.27  297.20  291.68  292.31  295.56  293.36  291.05  289.11  286.50  0
1423  344.96  336.01  327.64  327.32  307.69  311.97  329.53  333.40  316.60  322.81  309.37  324.46  323.98  315.49  322.01  327.48  0
1425  296.85  294.13  287.03  290.62  288.77  287.97  292.37  301.52  296.17  292.36  290.61  295.89  292.57  292.91  283.31  286.12  0
1426  286.96  285.00  282.05  291.05  290.28  292.75  299.16  312.37  302.49  292.31  293.81  302.59  293.59  291.78  290.53  281.39  0
1427  289.63  299.91  285.53  290.57  290.93  291.19  297.84  304.17  301.21  292.45  291.79  300.53  295.13  295.05  289.47  286.32  0
1428  299.56  296.24  285.00  291.23  292.03  290.12  295.97  305.29  299.08  292.95  289.56  300.62  294.18  296.24  289.38  283.04  0
1429  302.49  291.90  289.36  296.18  289.10  294.77  298.47  313.25  302.62  291.34  294.58  304.74  293.07  294.73  292.25  274.10  0
1430  297.82  291.82  279.97  290.24  289.16  289.98  296.76  307.66  302.05  293.78  287.96  299.85  293.98  296.03  289.56  275.77  0
1431  291.80  294.79  284.01  293.04  289.25  290.54  296.75  305.50  304.42  292.29  295.32  298.14  294.57  293.21  285.81  278.09  0
1432  306.28  294.81  288.50  296.04  291.70  292.94  297.17  307.48  302.44  294.80  291.04  298.93  295.28  295.51  293.35  272.25  0
1433  303.95  292.21  283.00  291.43  290.88  290.38  297.57  307.43  305.50  292.03  291.31  297.89  293.61  295.77  286.79  284.01  0
1434  298.09  290.98  286.86  294.09  296.63  294.52  299.66  309.08  307.38  296.78  291.86  300.20  296.47  295.82  283.36  281.26  0
1435  307.02  290.68  291.17  295.29  294.54  294.33  300.73  311.93  306.52  295.99  295.43  300.90  296.29  297.59  291.19  287.29  0
1436  295.36  288.50  284.66  295.61  295.80  292.19  300.30  307.33  306.39  295.96  293.76  298.13  294.57  292.72  286.36  301.17  0
1437  295.68  287.84  286.18  296.36  292.98  294.48  299.20  311.12  306.55  295.05  294.19  300.89  296.11  294.48  288.51  288.88  0
1438  299.03  291.47  285.16  295.36  293.35  295.29  299.93  307.65  303.76  294.96  294.61  299.22  294.82  296.68  287.89  259.47  0
1439  297.57  290.70  281.07  291.83  287.90  289.30  295.23  303.32  301.32  289.92  289.66  296.39  295.35  292.56  286.47  286.64  0
1440  302.36  291.47  284.22  291.55  284.20  290.27  293.91  301.56  300.99  292.22  290.11  295.87  293.91  296.40  289.04  282.95  0
1441  318.30  300.93  290.76  293.10  290.54  293.16  299.29  312.76  303.83  295.74  293.15  301.03  293.11  298.57  288.77  278.50  0
1450  307.34  302.66  285.86  291.52  292.46  293.65  299.78  304.99  303.59  294.54  294.50  300.19  296.61  294.75  291.96  281.31  0
1451  303.95  291.28  282.58  292.52  292.90  291.78  296.28  309.96  304.78  294.04  291.31  298.49  294.30  293.27  288.46  285.91  0
1452  316.03  302.27  292.22  298.66  295.70  299.21  297.58  307.81  303.59  298.60  292.13  303.19  297.41  289.81  286.34  305.02  0
1453  291.33  289.26  284.00  291.91  286.79  291.19  296.95  303.64  303.91  290.60  287.98  299.34  294.05  294.00  290.05  287.31  0
1454  308.24  289.94  284.06  290.62  287.23  288.38  300.99  311.69  301.26  293.48  293.64  297.23  294.53  296.66  290.26  279.61  0
1455  294.16  287.65  282.25  292.23  289.28  287.10  296.81  312.42  301.68  292.95  289.46  295.18  295.64  287.92  290.03  283.30  0
1456  307.73  290.14  286.53  295.13  293.82  295.03  298.68  315.98  305.03  296.60  293.93  297.03  294.37  296.29  290.23  272.15  0
1457  282.59  291.68  286.49  293.89  294.97  293.74  299.66  310.90  303.55  294.71  291.91  298.70  296.87  295.59  286.92  259.26  0
